term	stem	removestop	sim	termweights	p_0.25	p_0.5	p_0.75	p_1.0	p_mean1	p_mean2	r_norm	p_norm
tf	False	False	cosine	1,1,1,1	0.1356	0.0438	0.0206	0.0060	0.0667	0.0679	0.5382	0.1647
tf	False	False	cosine	1,3,4,1	0.1533	0.0554	0.0238	0.0059	0.0775	0.0786	0.5522	0.1759
tf	False	False	cosine	1,1,1,4	0.0535	0.0265	0.0151	0.0061	0.0317	0.0338	0.5083	0.1577
tf	False	False	jaccard	1,1,1,1	0.1356	0.0438	0.0206	0.0060	0.0667	0.0679	0.5384	0.1649
tf	False	False	jaccard	1,3,4,1	0.1533	0.0554	0.0238	0.0059	0.0775	0.0786	0.5522	0.1759
tf	False	False	jaccard	1,1,1,4	0.0535	0.0265	0.0151	0.0061	0.0317	0.0338	0.5094	0.1579
tf	False	False	dice	1,1,1,1	0.1356	0.0438	0.0206	0.0060	0.0667	0.0679	0.5382	0.1647
tf	False	False	dice	1,3,4,1	0.1533	0.0554	0.0238	0.0059	0.0775	0.0786	0.5522	0.1759
tf	False	False	dice	1,1,1,4	0.0535	0.0265	0.0151	0.0061	0.0317	0.0338	0.5083	0.1577
tf	False	False	overlap	1,1,1,1	0.0593	0.0370	0.0165	0.0061	0.0376	0.0367	0.5399	0.1607
tf	False	False	overlap	1,3,4,1	0.1280	0.0647	0.0209	0.0065	0.0712	0.0662	0.5764	0.1819
tf	False	False	overlap	1,1,1,4	0.0341	0.0235	0.0157	0.0060	0.0244	0.0233	0.5597	0.1790
tf	False	True	cosine	1,1,1,1	0.1876	0.1109	0.0324	0.0079	0.1103	0.1007	0.5001	0.1521
tf	False	True	cosine	1,3,4,1	0.2029	0.1114	0.0419	0.0077	0.1187	0.1097	0.5081	0.1639
tf	False	True	cosine	1,1,1,4	0.1263	0.0612	0.0265	0.0081	0.0713	0.0671	0.4510	0.1336
tf	False	True	jaccard	1,1,1,1	0.1876	0.1109	0.0324	0.0079	0.1103	0.1007	0.5013	0.1528
tf	False	True	jaccard	1,3,4,1	0.2029	0.1114	0.0419	0.0077	0.1187	0.1097	0.5090	0.1641
tf	False	True	jaccard	1,1,1,4	0.1263	0.0612	0.0265	0.0081	0.0713	0.0671	0.4510	0.1336
tf	False	True	dice	1,1,1,1	0.1876	0.1109	0.0324	0.0079	0.1103	0.1007	0.5001	0.1521
tf	False	True	dice	1,3,4,1	0.2029	0.1114	0.0419	0.0077	0.1187	0.1097	0.5081	0.1639
tf	False	True	dice	1,1,1,4	0.1263	0.0612	0.0265	0.0081	0.0713	0.0671	0.4510	0.1336
tf	False	True	overlap	1,1,1,1	0.1238	0.0877	0.0298	0.0080	0.0804	0.0728	0.5079	0.1512
tf	False	True	overlap	1,3,4,1	0.1614	0.0895	0.0418	0.0091	0.0976	0.0877	0.5110	0.1539
tf	False	True	overlap	1,1,1,4	0.1015	0.0649	0.0261	0.0076	0.0642	0.0577	0.4831	0.1448
tf	True	False	cosine	1,1,1,1	0.1560	0.0846	0.0471	0.0085	0.0959	0.0949	0.5477	0.1747
tf	True	False	cosine	1,3,4,1	0.1609	0.0856	0.0289	0.0082	0.0918	0.0908	0.5503	0.1704
tf	True	False	cosine	1,1,1,4	0.1115	0.0581	0.0296	0.0088	0.0664	0.0638	0.5504	0.1615
tf	True	False	jaccard	1,1,1,1	0.1560	0.0846	0.0471	0.0085	0.0959	0.0949	0.5485	0.1752
tf	True	False	jaccard	1,3,4,1	0.1609	0.0856	0.0289	0.0082	0.0918	0.0908	0.5498	0.1698
tf	True	False	jaccard	1,1,1,4	0.1115	0.0581	0.0296	0.0088	0.0664	0.0638	0.5501	0.1614
tf	True	False	dice	1,1,1,1	0.1560	0.0846	0.0471	0.0085	0.0959	0.0949	0.5477	0.1747
tf	True	False	dice	1,3,4,1	0.1609	0.0856	0.0289	0.0082	0.0918	0.0908	0.5503	0.1704
tf	True	False	dice	1,1,1,4	0.1115	0.0581	0.0296	0.0088	0.0664	0.0638	0.5504	0.1615
tf	True	False	overlap	1,1,1,1	0.0737	0.0543	0.0209	0.0083	0.0496	0.0481	0.5671	0.1816
tf	True	False	overlap	1,3,4,1	0.1023	0.0507	0.0228	0.0088	0.0586	0.0559	0.6007	0.1849
tf	True	False	overlap	1,1,1,4	0.0470	0.0350	0.0190	0.0080	0.0337	0.0340	0.5811	0.1931
tf	True	True	cosine	1,1,1,1	0.2113	0.1222	0.0474	0.0109	0.1270	0.1219	0.5016	0.1433
tf	True	True	cosine	1,3,4,1	0.2366	0.1334	0.0465	0.0114	0.1389	0.1334	0.5103	0.1516
tf	True	True	cosine	1,1,1,4	0.1735	0.1047	0.0439	0.0141	0.1074	0.1058	0.4906	0.1390
tf	True	True	jaccard	1,1,1,1	0.2113	0.1222	0.0474	0.0109	0.1270	0.1219	0.5015	0.1430
tf	True	True	jaccard	1,3,4,1	0.2366	0.1334	0.0465	0.0114	0.1389	0.1334	0.5083	0.1501
tf	True	True	jaccard	1,1,1,4	0.1735	0.1047	0.0439	0.0141	0.1074	0.1058	0.4902	0.1388
tf	True	True	dice	1,1,1,1	0.2113	0.1222	0.0474	0.0109	0.1270	0.1219	0.5016	0.1433
tf	True	True	dice	1,3,4,1	0.2366	0.1334	0.0465	0.0114	0.1389	0.1334	0.5103	0.1516
tf	True	True	dice	1,1,1,4	0.1735	0.1047	0.0439	0.0141	0.1074	0.1058	0.4906	0.1390
tf	True	True	overlap	1,1,1,1	0.1267	0.0865	0.0337	0.0104	0.0823	0.0768	0.5216	0.1649
tf	True	True	overlap	1,3,4,1	0.1433	0.0771	0.0373	0.0104	0.0859	0.0800	0.5112	0.1519
tf	True	True	overlap	1,1,1,4	0.1116	0.0749	0.0304	0.0101	0.0723	0.0668	0.5410	0.1733
tfidf	False	False	cosine	1,1,1,1	0.2762	0.1876	0.0969	0.0265	0.1869	0.1680	0.5479	0.1695
tfidf	False	False	cosine	1,3,4,1	0.3247	0.1997	0.0896	0.0173	0.2047	0.1785	0.5685	0.1750
tfidf	False	False	cosine	1,1,1,4	0.2530	0.1651	0.0822	0.0419	0.1668	0.1547	0.5700	0.1870
tfidf	False	False	jaccard	1,1,1,1	0.2762	0.1876	0.0969	0.0265	0.1869	0.1680	0.5479	0.1695
tfidf	False	False	jaccard	1,3,4,1	0.3247	0.1997	0.0896	0.0173	0.2047	0.1785	0.5685	0.1750
tfidf	False	False	jaccard	1,1,1,4	0.2530	0.1651	0.0822	0.0419	0.1668	0.1547	0.5700	0.1870
tfidf	False	False	dice	1,1,1,1	0.2762	0.1876	0.0969	0.0265	0.1869	0.1680	0.5479	0.1695
tfidf	False	False	dice	1,3,4,1	0.3247	0.1997	0.0896	0.0173	0.2047	0.1785	0.5685	0.1750
tfidf	False	False	dice	1,1,1,4	0.2530	0.1651	0.0822	0.0419	0.1668	0.1547	0.5700	0.1870
tfidf	False	False	overlap	1,1,1,1	0.1571	0.1043	0.0468	0.0078	0.1028	0.0944	0.5387	0.1618
tfidf	False	False	overlap	1,3,4,1	0.1645	0.1223	0.0657	0.0102	0.1175	0.1082	0.5635	0.1831
tfidf	False	False	overlap	1,1,1,4	0.1199	0.0776	0.0318	0.0070	0.0764	0.0728	0.5622	0.1876
tfidf	False	True	cosine	1,1,1,1	0.3081	0.2134	0.1105	0.0392	0.2106	0.1900	0.4763	0.1470
tfidf	False	True	cosine	1,3,4,1	0.3210	0.2210	0.1087	0.0233	0.2169	0.1928	0.4991	0.1531
tfidf	False	True	cosine	1,1,1,4	0.2764	0.1710	0.1004	0.0499	0.1826	0.1653	0.4965	0.1542
tfidf	False	True	jaccard	1,1,1,1	0.3081	0.2134	0.1105	0.0392	0.2106	0.1900	0.4763	0.1470
tfidf	False	True	jaccard	1,3,4,1	0.3210	0.2210	0.1087	0.0233	0.2169	0.1928	0.4991	0.1531
tfidf	False	True	jaccard	1,1,1,4	0.2764	0.1710	0.1004	0.0499	0.1826	0.1653	0.4965	0.1542
tfidf	False	True	dice	1,1,1,1	0.3081	0.2134	0.1105	0.0392	0.2106	0.1900	0.4763	0.1470
tfidf	False	True	dice	1,3,4,1	0.3210	0.2210	0.1087	0.0233	0.2169	0.1928	0.4991	0.1531
tfidf	False	True	dice	1,1,1,4	0.2764	0.1710	0.1004	0.0499	0.1826	0.1653	0.4965	0.1542
tfidf	False	True	overlap	1,1,1,1	0.1957	0.1616	0.0859	0.0120	0.1477	0.1291	0.5196	0.1641
tfidf	False	True	overlap	1,3,4,1	0.1673	0.1444	0.0808	0.0133	0.1308	0.1182	0.4953	0.1414
tfidf	False	True	overlap	1,1,1,4	0.1888	0.1489	0.0848	0.0124	0.1408	0.1238	0.4877	0.1460
tfidf	True	False	cosine	1,1,1,1	0.3326	0.1869	0.0934	0.0322	0.2043	0.1920	0.5343	0.1565
tfidf	True	False	cosine	1,3,4,1	0.3685	0.1930	0.0942	0.0268	0.2186	0.1966	0.5393	0.1637
tfidf	True	False	cosine	1,1,1,4	0.2750	0.1617	0.0887	0.0424	0.1751	0.1707	0.5847	0.1862
tfidf	True	False	jaccard	1,1,1,1	0.3326	0.1869	0.0934	0.0322	0.2043	0.1920	0.5343	0.1565
tfidf	True	False	jaccard	1,3,4,1	0.3685	0.1930	0.0942	0.0268	0.2186	0.1966	0.5393	0.1637
tfidf	True	False	jaccard	1,1,1,4	0.2750	0.1617	0.0887	0.0424	0.1751	0.1707	0.5847	0.1862
tfidf	True	False	dice	1,1,1,1	0.3326	0.1869	0.0934	0.0322	0.2043	0.1920	0.5343	0.1565
tfidf	True	False	dice	1,3,4,1	0.3685	0.1930	0.0942	0.0268	0.2186	0.1966	0.5393	0.1637
tfidf	True	False	dice	1,1,1,4	0.2750	0.1617	0.0887	0.0424	0.1751	0.1707	0.5847	0.1862
tfidf	True	False	overlap	1,1,1,1	0.1377	0.1309	0.0718	0.0120	0.1135	0.1039	0.5695	0.1805
tfidf	True	False	overlap	1,3,4,1	0.1564	0.1389	0.0758	0.0133	0.1237	0.1128	0.5801	0.1791
tfidf	True	False	overlap	1,1,1,4	0.1172	0.1081	0.0606	0.0116	0.0953	0.0881	0.5639	0.1735
tfidf	True	True	cosine	1,1,1,1	0.3703	0.2038	0.1078	0.0406	0.2273	0.2119	0.4993	0.1480
tfidf	True	True	cosine	1,3,4,1	0.3837	0.2092	0.1115	0.0352	0.2348	0.2137	0.5303	0.1701
tfidf	True	True	cosine	1,1,1,4	0.3131	0.1742	0.1015	0.0484	0.1963	0.1900	0.4863	0.1560
tfidf	True	True	jaccard	1,1,1,1	0.3703	0.2038	0.1078	0.0406	0.2273	0.2119	0.4993	0.1480
tfidf	True	True	jaccard	1,3,4,1	0.3837	0.2092	0.1115	0.0352	0.2348	0.2137	0.5303	0.1701
tfidf	True	True	jaccard	1,1,1,4	0.3131	0.1742	0.1015	0.0484	0.1963	0.1900	0.4863	0.1560
tfidf	True	True	dice	1,1,1,1	0.3703	0.2038	0.1078	0.0406	0.2273	0.2119	0.4993	0.1480
tfidf	True	True	dice	1,3,4,1	0.3837	0.2092	0.1115	0.0352	0.2348	0.2137	0.5303	0.1701
tfidf	True	True	dice	1,1,1,4	0.3131	0.1742	0.1015	0.0484	0.1963	0.1900	0.4863	0.1560
