term	stem	removestop	sim	termweights	p_0.25	p_0.5	p_0.75	p_1.0	p_mean1	p_mean2	r_norm	p_norm
tf	False	False	cosine	1,1,1,1	0.1138	0.0337	0.0202	0.0061	0.0559	0.0570	0.5280	0.1576
tf	False	False	cosine	1,3,4,1	0.1366	0.0426	0.0220	0.0058	0.0670	0.0684	0.5367	0.1667
tf	False	False	cosine	1,1,1,4	0.0460	0.0217	0.0143	0.0061	0.0273	0.0289	0.5164	0.1595
tf	False	False	jaccard	1,1,1,1	0.1138	0.0337	0.0202	0.0061	0.0559	0.0570	0.5265	0.1569
tf	False	False	jaccard	1,3,4,1	0.1366	0.0426	0.0220	0.0058	0.0670	0.0684	0.5373	0.1670
tf	False	False	jaccard	1,1,1,4	0.0460	0.0217	0.0143	0.0061	0.0273	0.0289	0.5164	0.1595
tf	False	False	dice	1,1,1,1	0.1138	0.0337	0.0202	0.0061	0.0559	0.0570	0.5280	0.1576
tf	False	False	dice	1,3,4,1	0.1366	0.0426	0.0220	0.0058	0.0670	0.0684	0.5367	0.1667
tf	False	False	dice	1,1,1,4	0.0460	0.0217	0.0143	0.0061	0.0273	0.0289	0.5164	0.1595
tf	False	False	overlap	1,1,1,1	0.0512	0.0325	0.0160	0.0061	0.0332	0.0323	0.5362	0.1662
tf	False	False	overlap	1,3,4,1	0.1116	0.0609	0.0198	0.0065	0.0641	0.0600	0.5754	0.1831
tf	False	False	overlap	1,1,1,4	0.0311	0.0206	0.0147	0.0060	0.0221	0.0216	0.5609	0.1769
tf	False	True	cosine	1,1,1,1	0.1706	0.0723	0.0346	0.0079	0.0925	0.0871	0.4405	0.1288
tf	False	True	cosine	1,3,4,1	0.1908	0.0807	0.0421	0.0076	0.1045	0.0998	0.4926	0.1451
tf	False	True	cosine	1,1,1,4	0.1194	0.0503	0.0284	0.0082	0.0661	0.0627	0.4410	0.1253
tf	False	True	jaccard	1,1,1,1	0.1706	0.0723	0.0346	0.0079	0.0925	0.0871	0.4402	0.1288
tf	False	True	jaccard	1,3,4,1	0.1908	0.0807	0.0421	0.0076	0.1045	0.0998	0.4926	0.1451
tf	False	True	jaccard	1,1,1,4	0.1194	0.0503	0.0284	0.0082	0.0661	0.0627	0.4400	0.1250
tf	False	True	dice	1,1,1,1	0.1706	0.0723	0.0346	0.0079	0.0925	0.0871	0.4405	0.1288
tf	False	True	dice	1,3,4,1	0.1908	0.0807	0.0421	0.0076	0.1045	0.0998	0.4926	0.1451
tf	False	True	dice	1,1,1,4	0.1194	0.0503	0.0284	0.0082	0.0661	0.0627	0.4410	0.1253
tf	False	True	overlap	1,1,1,1	0.1081	0.0694	0.0300	0.0081	0.0692	0.0635	0.4989	0.1464
tf	False	True	overlap	1,3,4,1	0.1392	0.0859	0.0402	0.0092	0.0884	0.0803	0.5247	0.1671
tf	False	True	overlap	1,1,1,4	0.0746	0.0442	0.0252	0.0077	0.0480	0.0449	0.4738	0.1446
tf	True	False	cosine	1,1,1,1	0.1396	0.0795	0.0473	0.0088	0.0888	0.0839	0.5213	0.1588
tf	True	False	cosine	1,3,4,1	0.1353	0.0703	0.0278	0.0086	0.0778	0.0841	0.5369	0.1657
tf	True	False	cosine	1,1,1,4	0.0972	0.0555	0.0297	0.0090	0.0608	0.0590	0.5138	0.1604
tf	True	False	jaccard	1,1,1,1	0.1396	0.0795	0.0473	0.0088	0.0888	0.0839	0.5220	0.1591
tf	True	False	jaccard	1,3,4,1	0.1353	0.0703	0.0278	0.0086	0.0778	0.0841	0.5381	0.1660
tf	True	False	jaccard	1,1,1,4	0.0972	0.0555	0.0297	0.0090	0.0608	0.0590	0.5138	0.1604
tf	True	False	dice	1,1,1,1	0.1396	0.0795	0.0473	0.0088	0.0888	0.0839	0.5213	0.1588
tf	True	False	dice	1,3,4,1	0.1353	0.0703	0.0278	0.0086	0.0778	0.0841	0.5369	0.1657
tf	True	False	dice	1,1,1,4	0.0972	0.0555	0.0297	0.0090	0.0608	0.0590	0.5138	0.1604
tf	True	False	overlap	1,1,1,1	0.0648	0.0490	0.0204	0.0082	0.0447	0.0441	0.5882	0.1839
tf	True	False	overlap	1,3,4,1	0.0846	0.0451	0.0225	0.0089	0.0507	0.0502	0.6022	0.1882
tf	True	False	overlap	1,1,1,4	0.0429	0.0323	0.0190	0.0080	0.0314	0.0315	0.5617	0.1706
tf	True	True	cosine	1,1,1,1	0.1889	0.1025	0.0467	0.0115	0.1127	0.1115	0.4762	0.1380
tf	True	True	cosine	1,3,4,1	0.1761	0.0982	0.0475	0.0126	0.1073	0.1099	0.4967	0.1446
tf	True	True	cosine	1,1,1,4	0.1573	0.0940	0.0483	0.0188	0.0999	0.0980	0.4673	0.1373
tf	True	True	jaccard	1,1,1,1	0.1889	0.1025	0.0467	0.0115	0.1127	0.1115	0.4832	0.1511
tf	True	True	jaccard	1,3,4,1	0.1761	0.0982	0.0475	0.0126	0.1073	0.1099	0.4955	0.1444
tf	True	True	jaccard	1,1,1,4	0.1573	0.0940	0.0483	0.0188	0.0999	0.0980	0.4673	0.1373
tf	True	True	dice	1,1,1,1	0.1889	0.1025	0.0467	0.0115	0.1127	0.1115	0.4762	0.1380
tf	True	True	dice	1,3,4,1	0.1761	0.0982	0.0475	0.0126	0.1073	0.1099	0.4967	0.1446
tf	True	True	dice	1,1,1,4	0.1573	0.0940	0.0483	0.0188	0.0999	0.0980	0.4673	0.1373
tf	True	True	overlap	1,1,1,1	0.0983	0.0656	0.0340	0.0106	0.0659	0.0652	0.5259	0.1608
tf	True	True	overlap	1,3,4,1	0.1292	0.0752	0.0370	0.0104	0.0805	0.0765	0.5088	0.1561
tf	True	True	overlap	1,1,1,4	0.0851	0.0583	0.0308	0.0102	0.0581	0.0563	0.5125	0.1507
tfidf	False	False	cosine	1,1,1,1	0.2820	0.1774	0.0947	0.0306	0.1847	0.1706	0.5423	0.1722
tfidf	False	False	cosine	1,3,4,1	0.3048	0.1977	0.0898	0.0191	0.1974	0.1784	0.5346	0.1670
tfidf	False	False	cosine	1,1,1,4	0.2462	0.1504	0.0841	0.0417	0.1602	0.1498	0.5445	0.1693
tfidf	False	False	jaccard	1,1,1,1	0.2820	0.1774	0.0947	0.0306	0.1847	0.1706	0.5423	0.1722
tfidf	False	False	jaccard	1,3,4,1	0.3048	0.1977	0.0898	0.0191	0.1974	0.1784	0.5346	0.1670
tfidf	False	False	jaccard	1,1,1,4	0.2462	0.1504	0.0841	0.0417	0.1602	0.1498	0.5445	0.1693
tfidf	False	False	dice	1,1,1,1	0.2820	0.1774	0.0947	0.0306	0.1847	0.1706	0.5423	0.1722
tfidf	False	False	dice	1,3,4,1	0.3048	0.1977	0.0898	0.0191	0.1974	0.1784	0.5346	0.1670
tfidf	False	False	dice	1,1,1,4	0.2462	0.1504	0.0841	0.0417	0.1602	0.1498	0.5445	0.1693
tfidf	False	False	overlap	1,1,1,1	0.1512	0.0954	0.0445	0.0078	0.0970	0.0905	0.5455	0.1684
tfidf	False	False	overlap	1,3,4,1	0.1642	0.1314	0.0721	0.0101	0.1226	0.1108	0.5600	0.1785
tfidf	False	False	overlap	1,1,1,4	0.1042	0.0722	0.0299	0.0070	0.0688	0.0675	0.5623	0.1798
