term	stem	removestop	sim	termweights	p_0.25	p_0.5	p_0.75	p_1.0	p_mean1	p_mean2	r_norm	p_norm
tf	False	False	cosine	1,1,1,1	0.1268	0.0837	0.0379	0.0085	0.0828	0.0824	0.4965	0.1443
tf	False	False	cosine	1,3,4,1	0.1739	0.1117	0.0521	0.0103	0.1126	0.1024	0.5254	0.1597
tf	False	False	cosine	1,1,1,4	0.1008	0.0687	0.0289	0.0081	0.0662	0.0660	0.5069	0.1634
tf	False	False	jaccard	1,1,1,1	0.1268	0.0837	0.0379	0.0085	0.0828	0.0824	0.4982	0.1460
tf	False	False	jaccard	1,3,4,1	0.1739	0.1117	0.0521	0.0103	0.1126	0.1024	0.5254	0.1597
tf	False	False	jaccard	1,1,1,4	0.1008	0.0687	0.0289	0.0081	0.0662	0.0660	0.5071	0.1636
tf	False	False	dice	1,1,1,1	0.1268	0.0837	0.0379	0.0085	0.0828	0.0824	0.4965	0.1443
tf	False	False	dice	1,3,4,1	0.1739	0.1117	0.0521	0.0103	0.1126	0.1024	0.5254	0.1597
tf	False	False	dice	1,1,1,4	0.1008	0.0687	0.0289	0.0081	0.0662	0.0660	0.5069	0.1634
tf	False	False	overlap	1,1,1,1	0.1634	0.1219	0.0512	0.0078	0.1122	0.1012	0.5559	0.1815
tf	False	False	overlap	1,3,4,1	0.1879	0.1242	0.0620	0.0099	0.1247	0.1122	0.5713	0.1947
tf	False	False	overlap	1,1,1,4	0.1196	0.0993	0.0427	0.0080	0.0872	0.0797	0.5570	0.1874
tf	False	True	cosine	1,1,1,1	0.1401	0.0845	0.0454	0.0116	0.0900	0.0860	0.4249	0.1225
tf	False	True	cosine	1,3,4,1	0.2193	0.1362	0.0700	0.0178	0.1418	0.1268	0.4976	0.1497
tf	False	True	cosine	1,1,1,4	0.1115	0.0692	0.0330	0.0108	0.0712	0.0680	0.4538	0.1307
tf	False	True	jaccard	1,1,1,1	0.1401	0.0845	0.0454	0.0116	0.0900	0.0860	0.4249	0.1225
tf	False	True	jaccard	1,3,4,1	0.2193	0.1362	0.0700	0.0178	0.1418	0.1268	0.4976	0.1497
tf	False	True	jaccard	1,1,1,4	0.1115	0.0692	0.0330	0.0108	0.0712	0.0680	0.4538	0.1307
tf	False	True	dice	1,1,1,1	0.1401	0.0845	0.0454	0.0116	0.0900	0.0860	0.4249	0.1225
tf	False	True	dice	1,3,4,1	0.2193	0.1362	0.0700	0.0178	0.1418	0.1268	0.4976	0.1497
tf	False	True	dice	1,1,1,4	0.1115	0.0692	0.0330	0.0108	0.0712	0.0680	0.4538	0.1307
tf	False	True	overlap	1,1,1,1	0.2129	0.1638	0.0858	0.0170	0.1542	0.1369	0.5160	0.1561
tf	False	True	overlap	1,3,4,1	0.1965	0.1439	0.0839	0.0183	0.1414	0.1288	0.4997	0.1510
tf	False	True	overlap	1,1,1,4	0.1705	0.1421	0.0775	0.0200	0.1301	0.1194	0.5031	0.1515
tf	True	False	cosine	1,1,1,1	0.1244	0.0663	0.0234	0.0075	0.0714	0.0669	0.5244	0.1609
tf	True	False	cosine	1,3,4,1	0.1339	0.0674	0.0290	0.0081	0.0767	0.0700	0.5494	0.1724
tf	True	False	cosine	1,1,1,4	0.0812	0.0563	0.0178	0.0073	0.0518	0.0508	0.5223	0.1533
tf	True	False	jaccard	1,1,1,1	0.1244	0.0663	0.0234	0.0075	0.0714	0.0669	0.5244	0.1609
tf	True	False	jaccard	1,3,4,1	0.1339	0.0674	0.0290	0.0081	0.0767	0.0700	0.5494	0.1724
tf	True	False	jaccard	1,1,1,4	0.0812	0.0563	0.0178	0.0073	0.0518	0.0508	0.5223	0.1533
tf	True	False	dice	1,1,1,1	0.1244	0.0663	0.0234	0.0075	0.0714	0.0669	0.5244	0.1609
tf	True	False	dice	1,3,4,1	0.1339	0.0674	0.0290	0.0081	0.0767	0.0700	0.5494	0.1724
tf	True	False	dice	1,1,1,4	0.0812	0.0563	0.0178	0.0073	0.0518	0.0508	0.5223	0.1533
tf	True	False	overlap	1,1,1,1	0.1360	0.0973	0.0484	0.0088	0.0939	0.0835	0.5691	0.1740
tf	True	False	overlap	1,3,4,1	0.1820	0.1162	0.0480	0.0093	0.1154	0.1013	0.5864	0.1893
tf	True	False	overlap	1,1,1,4	0.1172	0.0777	0.0333	0.0092	0.0761	0.0705	0.5589	0.1802
tf	True	True	cosine	1,1,1,1	0.1288	0.0697	0.0241	0.0093	0.0742	0.0685	0.4485	0.1287
tf	True	True	cosine	1,3,4,1	0.1523	0.0851	0.0340	0.0100	0.0905	0.0835	0.5095	0.1574
tf	True	True	cosine	1,1,1,4	0.1047	0.0621	0.0215	0.0089	0.0628	0.0563	0.4547	0.1280
tf	True	True	jaccard	1,1,1,1	0.1288	0.0697	0.0241	0.0093	0.0742	0.0685	0.4485	0.1287
tf	True	True	jaccard	1,3,4,1	0.1523	0.0851	0.0340	0.0100	0.0905	0.0835	0.5095	0.1574
tf	True	True	jaccard	1,1,1,4	0.1047	0.0621	0.0215	0.0089	0.0628	0.0563	0.4547	0.1280
tf	True	True	dice	1,1,1,1	0.1288	0.0697	0.0241	0.0093	0.0742	0.0685	0.4485	0.1287
tf	True	True	dice	1,3,4,1	0.1523	0.0851	0.0340	0.0100	0.0905	0.0835	0.5095	0.1574
tf	True	True	dice	1,1,1,4	0.1047	0.0621	0.0215	0.0089	0.0628	0.0563	0.4547	0.1280
tf	True	True	overlap	1,1,1,1	0.1599	0.1233	0.0634	0.0134	0.1155	0.1038	0.5015	0.1514
tf	True	True	overlap	1,3,4,1	0.1912	0.1250	0.0614	0.0133	0.1258	0.1115	0.5201	0.1528
tf	True	True	overlap	1,1,1,4	0.1597	0.1109	0.0500	0.0133	0.1069	0.0966	0.5163	0.1580
tfidf	False	False	cosine	1,1,1,1	0.1899	0.1631	0.0767	0.0186	0.1432	0.1295	0.5207	0.1653
tfidf	False	False	cosine	1,3,4,1	0.2305	0.1786	0.0832	0.0184	0.1641	0.1467	0.5047	0.1565
tfidf	False	False	cosine	1,1,1,4	0.1755	0.1530	0.0728	0.0217	0.1337	0.1205	0.5465	0.1785
tfidf	False	False	jaccard	1,1,1,1	0.1899	0.1631	0.0767	0.0186	0.1432	0.1295	0.5207	0.1653
tfidf	False	False	jaccard	1,3,4,1	0.2305	0.1786	0.0832	0.0184	0.1641	0.1467	0.5047	0.1565
tfidf	False	False	jaccard	1,1,1,4	0.1755	0.1530	0.0728	0.0217	0.1337	0.1205	0.5465	0.1785
tfidf	False	False	dice	1,1,1,1	0.1899	0.1631	0.0767	0.0186	0.1432	0.1295	0.5207	0.1653
tfidf	False	False	dice	1,3,4,1	0.2305	0.1786	0.0832	0.0184	0.1641	0.1467	0.5047	0.1565
tfidf	False	False	dice	1,1,1,4	0.1755	0.1530	0.0728	0.0217	0.1337	0.1205	0.5465	0.1785
tfidf	False	False	overlap	1,1,1,1	0.2098	0.1698	0.0816	0.0231	0.1538	0.1386	0.5597	0.1777
tfidf	False	False	overlap	1,3,4,1	0.2271	0.1759	0.0919	0.0274	0.1650	0.1489	0.5668	0.1836
tfidf	False	False	overlap	1,1,1,4	0.1847	0.1492	0.0749	0.0214	0.1363	0.1262	0.5442	0.1731
tfidf	False	True	cosine	1,1,1,1	0.2174	0.1740	0.0885	0.0376	0.1600	0.1522	0.4689	0.1473
tfidf	False	True	cosine	1,3,4,1	0.2501	0.1847	0.0987	0.0370	0.1778	0.1632	0.4646	0.1389
tfidf	False	True	cosine	1,1,1,4	0.1989	0.1644	0.0900	0.0482	0.1511	0.1430	0.4610	0.1380
tfidf	False	True	jaccard	1,1,1,1	0.2174	0.1740	0.0885	0.0376	0.1600	0.1522	0.4689	0.1473
tfidf	False	True	jaccard	1,3,4,1	0.2501	0.1847	0.0987	0.0370	0.1778	0.1632	0.4646	0.1389
tfidf	False	True	jaccard	1,1,1,4	0.1989	0.1644	0.0900	0.0482	0.1511	0.1430	0.4610	0.1380
tfidf	False	True	dice	1,1,1,1	0.2174	0.1740	0.0885	0.0376	0.1600	0.1522	0.4689	0.1473
tfidf	False	True	dice	1,3,4,1	0.2501	0.1847	0.0987	0.0370	0.1778	0.1632	0.4646	0.1389
tfidf	False	True	dice	1,1,1,4	0.1989	0.1644	0.0900	0.0482	0.1511	0.1430	0.4610	0.1380
tfidf	False	True	overlap	1,1,1,1	0.2256	0.1852	0.0968	0.0355	0.1692	0.1524	0.5052	0.1498
tfidf	False	True	overlap	1,3,4,1	0.2337	0.1855	0.1008	0.0358	0.1734	0.1562	0.5134	0.1501
tfidf	False	True	overlap	1,1,1,4	0.1985	0.1652	0.0915	0.0322	0.1517	0.1395	0.5084	0.1529
tfidf	True	False	cosine	1,1,1,1	0.1459	0.1182	0.0575	0.0106	0.1072	0.1006	0.5257	0.1649
tfidf	True	False	cosine	1,3,4,1	0.1652	0.1178	0.0646	0.0109	0.1159	0.1075	0.5109	0.1515
tfidf	True	False	cosine	1,1,1,4	0.1381	0.1150	0.0492	0.0101	0.1008	0.0919	0.5203	0.1569
tfidf	True	False	jaccard	1,1,1,1	0.1459	0.1182	0.0575	0.0106	0.1072	0.1006	0.5257	0.1649
tfidf	True	False	jaccard	1,3,4,1	0.1652	0.1178	0.0646	0.0109	0.1159	0.1075	0.5109	0.1515
tfidf	True	False	jaccard	1,1,1,4	0.1381	0.1150	0.0492	0.0101	0.1008	0.0919	0.5203	0.1569
tfidf	True	False	dice	1,1,1,1	0.1459	0.1182	0.0575	0.0106	0.1072	0.1006	0.5257	0.1649
tfidf	True	False	dice	1,3,4,1	0.1652	0.1178	0.0646	0.0109	0.1159	0.1075	0.5109	0.1515
tfidf	True	False	dice	1,1,1,4	0.1381	0.1150	0.0492	0.0101	0.1008	0.0919	0.5203	0.1569
tfidf	True	False	overlap	1,1,1,1	0.1544	0.1171	0.0666	0.0144	0.1127	0.1010	0.5713	0.1732
tfidf	True	False	overlap	1,3,4,1	0.1871	0.1255	0.0727	0.0136	0.1285	0.1114	0.5783	0.1750
tfidf	True	False	overlap	1,1,1,4	0.1423	0.1034	0.0566	0.0146	0.1008	0.0897	0.5940	0.1870
tfidf	True	True	cosine	1,1,1,1	0.1713	0.1250	0.0538	0.0129	0.1167	0.1060	0.4658	0.1444
tfidf	True	True	cosine	1,3,4,1	0.1967	0.1336	0.0707	0.0139	0.1336	0.1188	0.4758	0.1388
tfidf	True	True	cosine	1,1,1,4	0.1518	0.1181	0.0392	0.0123	0.1030	0.0975	0.4759	0.1441
tfidf	True	True	jaccard	1,1,1,1	0.1713	0.1250	0.0538	0.0129	0.1167	0.1060	0.4658	0.1444
tfidf	True	True	jaccard	1,3,4,1	0.1967	0.1336	0.0707	0.0139	0.1336	0.1188	0.4758	0.1388
tfidf	True	True	jaccard	1,1,1,4	0.1518	0.1181	0.0392	0.0123	0.1030	0.0975	0.4759	0.1441
